,text,sentiment
0,last session of the day  httptwitpiccom67ezh,1
1, shanghai is also really exciting precisely  skyscrapers galore good tweeps in china  sh  bj,2
2,recession hit veronique branquinho she has to quit her company such a shame,0
3, happy bday,2
4, httptwitpiccom4w75p  i like it,2
5, thats great weee visitors,2
6,i think everyone hates me on here   lol,0
7, soooooo wish i could but im in school and myspace is completely blocked,0
8, and within a short time of the last clue all of them,1
9, what did you get  my day is alright havent done anything yet leaving soon to my stepsister though,1
10,my bike was put on holdshould have known that argh total bummer,0
11, i checked  we didnt win,1
12,  and youre on twitter did the tavern bore you that much,1
13,im in va for the weekend my youngest son turns 2 tomorrowit makes me kinda sad he is getting so big check out my twipics,0
14,its coming out the socket  i feel like my phones hole is not a virgin thats how loose it is ,0
15,so hot today   dont like it and i hate my new timetable having such a bad week,0
16, miss you,0
17,cramps   ,0
18, you guys didnt say hi or answer my questions yesterday  but nice songs,2
19,im going into a spiritual stagnentation its exploding my ego i now realise im not all that great and im ok with that,1
20,stupid storm no river for us tonight,0
21,my dead grandpa pays more attention to me than you do,0
22, need retail therapy bad ahhhgimme money geebus,0
23,about to go to sleep,1
24, you are lame  go make me breakfast,0
25, thats so cool,2
26,hey peoples dont you just hate being grounded haha im just sat eating an apple and watching death note some anime,1
27,huh another scarepoint coding sunday,1
28, look who i found just for you    httptwittercomdjt2009,2
29,no ac the fan doesnt swing our way  we are sweating it out on a hot humid day,0
30, guess that depends on if you want to be on the jury,1
31,resorted to eating mickey ds alone,1
32,there is a faux gothy chick looking at me sorry i am not going to camden and i like poppunk and jimmy eat world,1
33, did he ask for your twitter id your sun sign,1
34, whered you go,1
35,watching body of liesgood film,2
36,happy mothers day mumm  xoxo,2
37,so i really need to put the laptop down  start getting ready for  shindigbut ive missed my twitterloves all day,1
38, im sorry  at least its friday,0
39,feels sorry every time im printing out i use like 200 new papers,0
40, 4n ma rog  never heard of it  esti beat acum u tweet too much,0
41, i always forget something when i travel i am at newark airport,1
42,should have left car and walked home i might need someone to rescue me with petrol light flashing,1
43,im only updating this so that bretts phone beeps  but really looking at wedding stuff againfor the next five months,1
44, hi there  i agree  small children should be running about happy not breaking down in tears,2
45,  hope ur havin fun in da club,2
46,i miss my old phone it worked so good until i dropped it  i want a new one for my birthday,1
47,thinks sg is wonderful,2
48,  im really sorry i know wallah how u feel this life is shittttttttt,0
49,not happy,0
50,is watching acoustic performances  in the mood for a good friends episode i miss that show,1
51, ill oscillate from one to the other,1
52,im so very tiredand have insomnia,0
53, thanks ennio,2
54, you should totally come get me and bring me to kelslaws house with you,1
55, you seem nice youre generous and you know your stuff,2
56, u so dirrrrrty why oh why did i pick the hawks  i figured i needed a longshot and they were a better bet than car,1
57,almost got a kitty yesterdaybut it didnt work out,1
58,reality needs to check in schools over time to party  not tonight tho im going to bed night night,1
59,   caladesi was definitely a nice peaceful way to spend a sunday i got a lil tan,2
60, i still dont know what we would do though,1
61,xo   dang it so its not certain    are you okay,1
62,change of plans i am staying in brandon  no papaya salad for me,1
63,dear rain you suck now i gotta change my plans for tonight,0
64,at starbucks with my love eff school i have work later too,1
65,i just cried whilst watching hollyoaks   i need a life lol,0
66,hi all just recovering from a party looking forward to an exciting bank holiday around the diy shopslife cant get much bettersurely,2
67,terminator salvation by myself,1
68, fortheloss dumbface  him not u what u up to on the wknd i wanna seeeeeee ya,0
69, why do i have to enter my registration details every time i update,1
70,on the monday so i wont be able to be with you  i love you,2
71, ur so cuteim a fan of dream a little dream this kiss and appearances like in dawsons creek  make more flicks,2
72, tgif is righti think i broke my toe last night  on my bad foot,1
73, oherr its soon then do you have plans i had a party on saturday  x,1
74,lamont yr very young looking dude,2
75, hmmm wrong link ignore my tweet,0
76,att cheated the system and now i have no green day tickets   you att,0
77,tracy and berwick breaks my achy breaky heart  they split ways in the hallways,0
78, yep i wish they were all playing dubiln,2
79, im a lady and ladies dont move couches they direct where the couches go,1
80, yay for block party  youre the bomb blockheads 3 dave   thanks for supporting nkotb,2
81, 26th february,1
82,guess what mom adopted a kitty today 11 months his name is corky,1
83,happy birthday snickers  i hope you have the best day ever lets go shopping,2
84, thank you  im working on s,2
85, lol man i got 2 1 2 hrs an iont how i woulda made it wit out my ramen noodles and tv time,1
86,not feeling all that well today,0
87,httptwitpiccom4wp8s  my ear hurts and this is my medicine gum,0
88,berland lmao i know i know,1
89,gnight shar    vega ,1
90,the underwire in my bra is sticking out and poking me in the armpit,0
91,happy mothers day,2
92,yes i am,1
93, i cant call mitch  im from sweden,1
94,happy star wars day may the fourth be with you,2
95,was so excited to eat the wartermelon i bought the other day and it was terrible and not sweet,1
96,i just watched marley  mei cried so hard,0
97,take antibacterial to school to clean your hands when you cant go the loos,1
98,im leaving work now trying to decide if i return on sunday afternoon or monday 4 am to meet a noon uk time deadline,1
99, haaawwell i get out of class at 1050i hope i make it,2
100,oooh sunshine a patch of sunshine and it will be gone by the time i leave work and replaced with rain  vent,1
101,skype call with billie but my webcam dont work,1
102,just had a great study time followed by a delicious japanese meal with arty now trying to get back into the study mood,2
103,fml not having a car is prohibiting finding a job,0
104,  lol since i got twitter a little while ago it seems like loads of people setting up an account,1
105, i want to see david cook,2
106, yeh me 2,1
107, learning tat the scenic way  din plan to go town but somehow was herded there,1
108, i dont want to do anything specific i just want to see you and puppy,1
109, yeah i need his fricken cell number ive tried his home for months and hes too busy i miss braddddddddd,0
110,toy story 3 trailer premiered with up i need my computer back,1
111,ughh on the phone with hp,1
112,and hand made by dan  jenn sock blockers  made from exotic woods  one of which is called purple heart,1
113, yay about breaking 200,2
114, bahah sadly i am not,0
115, i always have those for my champions league parties  tis awesome,2
116, well not all just stay away from those kinds and surround yourself with those who dont happy mothers day to ur mom treiz,2
117,adel they didnt reply yet wait till they confirm in case somebody might have translated it already,1
118, thats rough hubby had knee surgery but it did help him in the end let us know the results well keep him in our prayers,0
119,might have to go back much earlier than expected bye bye bay area,1
120,playin city of villains wishin my buddies were playin with me,2
121, yep  three things a good haircut the ability to listen and the value of not taking yourself too seriously,2
122, riley hacked my twitter  hahaha ,1
123,big sad face   bing doesnt work on iphone  it just takes you to the regular mobile live search,1
124, i liked it  did you record it yourself  if so you have a very soothing voice,2
125,man im so sad school is ending  but then again high school might be better o,1
126, folks thought it was hilarious when i told them the story and then they saw the shirt i wore tonight  laughter all night,2
127, youre the absoute best,2
128,oh my god i cried so much watch this guys from bgt  httpbitly5t5xz,1
129,my near daily exercise is starting to show results,1
130, welcome,2
131,bout to hit pmark then make one of my final meals wit the housemates,1
132, you get to go home and i have to go to work,1
133,voted for  on cmtcom,1
134,just got home from a nice party just not tired yet,2
135,now i have a sunburn,0
136,i have the job  this is a nice day it can not be better,2
137,i wish i could go to bea this weekend,2
138,i 3 rupert grint of the boy ive accepted tht i do fancy him  but im certain he doesnt feel the same so its not worth telling him,1
139, love your books,2
140,ok so this eye doctor guy is taking forever and im sitting in a cold room by myselfwhat a jerk,0
141,im slowing on my tweetscuase i lost my phone,0
142, well thank your phone for me,2
143, why would they take a photo with stuffed animals thats pretty funny,2
144,tweetdeck is acting really strange hum reinstall maybe update on the horizon or is it just another adobe memory leak,1
145,tikcets are only ã¯â¿â½91eachbut i so want to go,2
146, happy mothers day,2
147, its gonna be hot here today too today is ryans last day of prek i cant believe it  ive been a sahm since i had him,0
148,is dreaming of the weekend awake,1
149,oh  me ive just returned from the supermarket of doom to find that i have nothing to drink here,0
150, yay but you missed naptime,1
151,dgroup saturdays with a little bit of football an hour nap 3 hours of soccer basketball in the tsu and yogurtland lifes good,2
152,just set up a new computer again 15min i love norton ghost,2
153,ahhh my mommie got me new sheets for my bed  so comfy,2
154,celeste  finally some sleep in silence,1
155,im just up  and its 1243 o  im so lazy thank god its a bank holiday,1
156,is pretty dang tired but chambers class is for napping,0
157,i have to poop   is hogging the shitter,0
158,yes im down to 50 full on my dvr  i was at 98 like 3 days ago lol i swear if i didnt have a dvr i would never watch tv,1
159,happy muthaths day to all moms i salute you,2
160,hahaha alright  ,2
161, arent you suppossed to support the local economy  lol  good for you and congrats,2
162, good to know   thanks,2
163, what are you flavor of the day,1
164,weathers let me down this morningughhada gd nite tho,1
165,just listened to condre scr and got an invitation to watch their live concert on june 20th in munich httpbitlydaxa0  postrock,1
166, elo  wow brings back so many happy memories  love this bandand yes i know im showing my age but i dont care,2
167, thats a very cute picture  but you dont get fat from licking bbqs  he must have found some chops on someone elses ,2
168, oh i love sunday mornings like this  mum just made scrambled eggs on toast,2
169,hate working when its sunnyboohoo,0
170,is online  httpplurkcompstjdg,1
171,bundy in 3 days warm weather here i come,1
172,wondering if i cld make things any worse than they already are answer just did,0
173,a dutch marketing agency is asking job applicants to apply in 140 characters or less  http,1
174,twitter has spoiled all the fun frustratingly slow  couldnt even bid properly,0
175,chick haha i completely agree,2
176,if we dont pack she cant leave right,1
177,   lolwhere u headed to,1
178,going to bed after a great night with a friend  glad to know she has the same feelings about classes as someone else,2
179, many mine included ahem shld have known better back then wldnt have missed so many opportunities haha,0
180,its nice to leave the office when the sun is still up,2
181,i will miss the soccer moms,0
182, between the garlic pills the spider bite between your toe lolclassic and you always being hungry u are killing me 2 funny,1
183, sighs ah well  maybe my second email will clear it up and get him approved,1
184,  missed all your tweets again joe  that time difference uk dont 4get about your fave supporters in the uk  ,1
185, that came to my mind so i said it and it has now been adapted into my familys vocabulary,1
186,looking forward to body works today,1
187,just watched yes man bahaha that movie is messed up,0
188, sadly i think i know exactly were you put itin the expired drawer   those things have a life span of less than two years,0
189, too much no not unless one of the pillows ends up suffocating the one sleeping next to you,0
190,meeting my best friend first thing in the morning to the gym omg i am still so shocked i hope you will get better soon,1
191,wow that was fastnext up soderling or ferrer gilles simon lost,0
192, yup theory is great but the reality is beyond imagination  i also made the same planning not knowing vs will fail on me,1
193, glad to know that the ad display problem was due to a firewall config at yr office phew,2
194, woot,2
195,i dont like monday i wish it were sunday cause thats my fun day  that was my freaking jam when i was little   i miss it,1
196,       httpbitlynack2,1
197,waiting for the last movie to finish then am test screening ghost of girlfriends past glass of wine and lolly bag in hand yay,1
198,happy starwarsday may the 4th be with you  from everyone paintball,2
199,must head back to the office,1
200,st joe is dirty,0
201,httptwitpiccom4w67k  camping at black butte lake,1
202, are you getting my messages or do you have to add me to recieve them soz im new to this,1
203,i hate my life,0
204,sick to my stomach and i have a headache i wish someone could come rub my temples,0
205,  natalya you gotta tell me whats going on id call you but i lost all my phone numbers when i broke my blackberry,0
206,just thought about how unfair 3 ppl have been 2 me n got depressed again  haters,0
207,crying real tears,0
208,brown been holding onto this one for a while  httptwitpiccom4w5eh,1
209, panchitos burfday party tonight wish you were here kiddo,2
210,back from town and my mac crashed on me  but its better now,1
211,archie andrews what were you thinking veronica,1
212,the best things in life are free  x,2
213,misses my mom today she was my best friend and even though she has been gone several yrs i still miss her dearly happy mothers day,2
214,i am watching blood  on veoh episode 19 love the musicwishing i could watch the live action but not old enough,0
215, that is a bummer,0
216, he is the truth but what about maxwell you cant forget the future father of my children,1
217,httptwitpiccom665jw the racoons ate our bread,0
218,be sure to let the moms you know how fabulous you think they are   almost mothers day,2
219,inastory glad im not the only one hes our baby and im terrified hell think were never coming back,1
220,no launch today teacher changed plans and we watched a stupid move about tesla,0
221,  its very pleasant i sooo rarely just have time to kill,2
222, thank you ooh i see youve read desert islands httpisgdys6k great book,2
223,o lol but tiz a good song,2
224,again working on the internet shop  dont think we will achieve the goal of uploading by the previously set time   will keep going,1
225,anix i bought cheesecake ice cream last week thinking it was good and it sucked so much   im taking yours,0
226, what causes the frustration buddy,1
227,wright thank you return of the mack is the jam,2
228,ready for this saddenning depressing dullful upsetting dreadful weekend,0
229,sorry for my lack of tweets  ive been buzy new vid this saturday,0
230, i do my humble best  going on a works paintball day soon so that should fuel a few strips no doubt,2
231,going to bed  cant take thiss any longeerr maan ,0
232,morden be at richards if not then ill see you when youwe get back  good luck,2
233, thanksi really do appreciate that i know it will be the hardest thing i have ever done,1
234,spent the last hour signing yearbooks ill miss you guys,0
235,and i just love every little thing about you,2
236,my mobile has stopped recieving text messages again stoooopid thing,0
237, hi simon let me know when its done,1
238,had an amazing night with my favorite lady friend,2
239,oyler poor little woman with her smushed in head,0
240,is fixin to clean the house for my mom for mothers day,2
241,why do you think people say save the drama fo yo mama im sure even yo mama wouldnt wanna listen to ur drama ode to mothers day,1
242, hey thats my school i hate that place,0
243, i did i only got 3 stars on the pre wash then failed the rince,0
244,my sister in law just left for her prom she looked soo pretty tears all around,2
245, follow me too,1
246,bought three books yipee  now whos with me on that readtenbooksduringthesummer thing,1
247,im really bored my brother went to get his permit stay off the roads jk lol it feels like all my friends have abandoned me except 1,0
248, goodnight,2
249,themoon hiya hun its just not my day dentist appointment ouchnotebook being a  feeling sick  hows you,0
250, but i do emily ahahha you scare me so it would work,0
251,now i need to change my monitor,1
252, i know dude im doing reruns making jenny watch them now too so we can have conversations lol  havent been online much,1
253,what about me   i vote every day for you ,1
254,should not have waled past the quad i want to be outside having fun,2
255,just rocked home from maccas and now signing a petition for big bang to tour aus  lol,1
256,i think the food i ate made me sick i no feel so good,0
257, eagerly anticipating twitpics,1
258,lots of tasks to complete today first wecloming new members to canadamigos social networking site  and coffee,2
259,just wants to stay in bed all day but has to go to work instead  sux,0
260,chillen trying to figure this thing out gettin drunk,2
261,yay doctors  now interview then back 2 the doctors for blood work,1
262,filming at a carnival for my music video it reminds me of the cherry festival that i used to go to back home ahhh memories,2
263,im siiiiiickkk  i dun feel good,0
264, propellerheads has been on my harddrive for a long while just got my music repo back in shape this we and felt nostalgic,2
265,glorious sunny day in london town im in drama school fighting people with swords while protecting my romantically structured face,2
266,89 i feel so sorry for her  hope she dnt cry 2nd time,0
267,would wish the severe migrains would stop docs prescriptions arent working,0
268,0909 full moon my lovely friends and family my bday wish came true3 in additiongray matters is one of the cutest movies ever,2
269,my life would suck without you  kelly clarkson,0
270,revising for exams,1
271, you should so host the next logies i only laughed at your bit really,2
272, hi jordan im gonna all of ui know ur busy and i know ur probably tired but please reschedule nc dont leave us out,1
273,joy i feel like red lea now,2
274, id love to but i think the trek from london would be a bit too much,1
275, hey hey,1
276,thinks revising in the garden from 8 this morning without sunscreen isnt the best idea ive had  oucccccccch,0
277,is miserable  i feel like im gona cry  sux,0
278, i know they are deliciousmiss germany but like holland as well as we used to shoppin there at weekendslol,2
279, lol very true maybe next year i loooved that siggy and i dont remember what the password for the mod thing was  cake,2
280, lol get watching it again  hehe,1
281, hope you did great  you certainly spent enough time studying,2
282, btw  downloaded iphone 30 sdk,1
283,straighening my hair and its not going as straight as i want it to be what a  bummerrr for me,0
284, i need botox work on the lips if im going to change my name to angelina jolie but its a thought sad though about the racism,0
285, me a doctor laughs oh no no no i was cranes patient at arkham aslyum but now i work for him,1
286,morning all have a great day off to school i go,2
287,now in a weird mood  muahaz,0
288, congrats photo of dre,2
289,sanctuarysunday  thanks for joining on sanctuarysunday follow more sanctuary people to keep up to date on the tweets,2
290,done at disneyland kids knocked out stopped by the hotel bar and grabbed a grey goose  tonic on the way uppeace,2
291, ok lol i miss you too i hope your cramps get better i know how painful they can be,1
292, oh and a very good review,2
293,mileycyrus it wont let me do it twitter keeps saying over twitter capacity or something that bird keeps coming up,0
294,im extremely hungry and the only thing i have in my house is soup  i dont like soup pouts,0
295, its hilarious,2
296, i love the guy that was standing behind me,2
297,bout to hit the sackgot  to do tomorrow happy mothers day mom,2
298,lost my dc hat ,0
299,starting the video editing of the first spanking movie we did with mina  it will be added to the next update,1
300,   in effect your podcast is the audio version of your book isn plus it has the added charm of banter  ,1
301,sunny synday morning nicole is up later than usual mommy got some sleep,1
302,browsing  find everything about university  interior design,1
303,i have not tweeted for sixteen days i miss it  ive been having fun though d ingrid on mon was frakking awesome  bbq today,1
304, visit si fr joemar dito bataan frm camiguin  sum of my ofcmates i are supposed to meet him this saturday  cant luwas,1
305, i am soo excited about your pasadena seminarif only i can find the confermation email,2
306,ugh i dont feel well again all of a sudden,0
307,i want a new phone  ive seen too much cellphone commercials ,0
308, well test that theory  with no right arm to strum with  got a feelin ill be humming my new tunes for a while,0
309, httptwitpiccom4vuuy  thats so cool,2
310,school 39 days  so exited amazing premier ,2
311,  tis very useful indeed esp for newbies like me,2
312,gonna go and see my sister at mount sinai   shes there for at least another 24 hours,1
313, it was just the handle tg,1
314,backe backe muffins,1
315,is relaxing after working on mothers day  oh well a good day had  hope you are all well,2
316,lasttt mondayyy of classs,1
317, yup  now i can join in on the nin access fun,2
318,i just walked into work all the while thinking that i was sitting in bellagio this time wednesday,1
319, unfair  i wanna go too,0
320,download movie  a good day to be black 38 sexy httptinyurlcomckmkul cool movie,2
321,jus got back from a run up sunset blvd my cuzin tried to kill me my legs are still movin and im sittin down,0
322, aww thats sad  i miss seeing you guys on the big screen,0
323, i knooww   my hot water bottle iss in whangamata without me ahhhhh,1
324, eeeeep so jealous  im at work  um how can u receive viva do they broadcast it online plz,0
325, thank you so much phaoloo ,2
326, the hotel should be thankful,2
327,watching gh i feel so bad for carly  omg so  up,0
328, rofl thats what we like to hear,2
329,ok im frustrated there is hella dust between the screens of my blackberry,0
330,is anyone awake oh my god i am dying here i want to go to sleeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeep ,0
331, we do its been to long i think i have next weekend open when are you going to have the house warming party,1
332,change of plans working inside bar tonight,1
333, thanks for following,2
334, well good luck then,2
335,at work getting a quick bite to eat before having to kill my wrist self addressing 500 envolopes,0
336,arghhhhhhhhh i cant keep up with these twitterbones peeps,0
337,undervote is just going on  im all overalled up,1
338,making german apple slice  nom nom nom,2
339,looks like its another night at the office lol,1
340,my tummy hurts,0
341,got about 2 hours sleep,1
342,anybody else experiencing painful slowdowns with facebook,0
343,lol2 people in falconand boo one of them being becca,1
344,i really need to earn money so that i can watch the pcd concert,1
345,the poor pirate had out his last wisdom tooth and is looking really peaky,0
346,mozzer cancelled tonight by the looks of it,2
347,waiting for aaron to get into town and then leave him for work booo,0
348,morning tweat tweat twitter,1
349,headed home  charlies at the vet,1
350,i wanna b maliks from taking the stage,1
351,is going to bed soon happy mothers day to all the mothers  333 ryan less than 3 weeks ,2
352,bored bored bored wish i had something to do tomorrow especially with the weather were to have  not fair,0
353, well even with her breakdown she was better than the other acts unfortunately britains got very little talent,0
354,about to go to leeds shopping,1
355, sadly i cant view that site due to region restrictions,0
356,its 2050 hs and im still at the officereally tiredwanna go home,0
357,aly  aj new album this summer yay,2
358,day26  awwwww have fun with the fam boo boo,2
359, lovelytrinkets i like the way you worded that about rocky road,2
360,mexican coca cola in a bottle new favorite thing  no high fructose corn syrup  sugar is so awesomely old school,2
361,got people dont let me skip sci pratical becos skola is impt and dont waste my parents money  nt fair,0
362,i have nothing witty to say,1
363, me too,1
364,hi ho  hi ho its off to work we go,1
365, thanks for the hint  httptinyurlcomchtx7e,2
366, u welcome babe kill the show yuuupp,2
367, hey candis,1
368, i was never a good stereotypical teen,0
369,i love my maitu n she loves me happy mothers day mama,2
370, i am so sorry,0
371,i want to go to singapore but my mother seems not,1
372,jb on the front of factor x wooh contest timeee,1
373, so u arent going to be in chicago,1
374,i have problems wih pizzaii love it too muchim so addicted to pizza  and dot dot curve ,2
375,so tired,0
376,had a lovely breakfast with mumyummy pancakes,2
377, yay have fun,2
378, why thank you us mamis are bringin sexy back,2
379, lucky thats awesome,2
380,oh god a moth was living in a  power outlet  actually my powersquid,0
381,i am craving burrito boys  large halibut with everything on it no jalepenos 1 line hot sauce can anybody hook me up,1
382,oh is that time for real,1
383,so now well pay more in sales taxgreat  even worse mom and pop businesses have to double what they pay in business licenses,1
384,i love  very much  i called him but he was talking to other fans  i love you a lot mitchel ill see u in el cajon june 7,2
385,i misses my bed  so sleepy,0
386,woo two days till awesome gig one day till uni is finished for 12 days  gigs 3yp,2
387,no tv and no internet make catherine something something,1
388,anyone have some advice i need it,1
389,just found mj mouse flats at djs of course there are none left in my size,0
390,im dreading hearing even worse news tonight,0
391,so now that i have a whole 20 followers 5 of them actual people i dont know what to write in here anymore,1
392,haappy bank holiday  2 weeeeks aah,2
393,  i thought  was against licensing stores bc it takes away from the experience they want to provide,1
394,amichael it doesnt look like youre tired in the pic  dont work too hard,1
395,so i slept in a littlewell a lot whooops,1
396,says my new layout is so cute x see the cuties  hahahah  httpplurkcompsuqp6,2
397, good night rob sleep well safe travels tomorrow,2
398, i know i suck  my data plan is weak sauce,0
399, well i will be making beds creating noise  cleaning cleaning all day long  with music  a smile  x,1
400,  bit of new scientist this weeks an last weeks and watership down,1
401, dear oh dear,0
402,my monday running so fast,1
403,playing at my old school playground still the same except them lame  got rid of the tire swing,0
404,happy mommahs day to your moms  httpplurkcompstqya,2
405,cal work orhehe mind in the gutter im sittin here doin this student loan thing,1
406, lol  i could have written that  would be good to have 2 mondays this week then i might catch up x,2
407, youre surrounded by them i have no official niecesnephews yet,1
408, cant wait for dte in michigan this summer you guys are great look for me in the customized nkotb track jacket,2
